"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.03.2024","69.611,5","69.872,3","70.321,2","69.564,9","29,87K","-0,37%"
"29.03.2024","69.871,7","70.766,7","70.907,0","69.090,9","58,99K","-1,26%"
"28.03.2024","70.762,1","69.449,4","71.542,5","68.956,9","72,49K","1,90%"
"27.03.2024","69.442,4","69.999,2","71.670,8","68.428,6","112,88K","-0,80%"
"26.03.2024","69.999,3","69.896,3","71.490,7","69.366,4","90,98K","0,15%"
"25.03.2024","69.892,0","67.216,4","71.118,8","66.395,0","124,72K","3,99%"
"24.03.2024","67.211,9","64.036,5","67.587,8","63.812,9","65,59K","4,96%"
"23.03.2024","64.037,8","63.785,6","65.972,4","63.074,9","35,11K","0,40%"
"22.03.2024","63.785,5","65.501,5","66.633,3","62.328,3","72,43K","-2,62%"
"21.03.2024","65.503,8","67.860,0","68.161,7","64.616,1","75,26K","-3,46%"
"20.03.2024","67.854,0","62.046,8","68.029,5","60.850,9","133,53K","9,35%"
"19.03.2024","62.050,0","67.594,1","68.099,6","61.560,6","148,08K","-8,20%"
"18.03.2024","67.594,1","68.389,7","68.920,1","66.601,4","78,07K","-1,17%"
"17.03.2024","68.391,2","65.314,2","68.857,7","64.605,5","66,07K","4,71%"
"16.03.2024","65.314,2","69.456,5","70.037,0","64.971,0","75,82K","-5,97%"
"15.03.2024","69.463,7","71.387,1","72.398,1","65.765,6","148,59K","-2,69%"
"14.03.2024","71.387,5","73.066,7","73.740,9","68.717,2","109,43K","-2,30%"
"13.03.2024","73.066,3","71.461,9","73.623,5","71.338,4","77,18K","2,23%"
"12.03.2024","71.470,2","72.099,1","72.916,7","68.845,6","105,09K","-0,87%"
"11.03.2024","72.099,1","68.964,7","72.771,5","67.452,8","114,72K","4,54%"
"10.03.2024","68.964,8","68.360,7","69.905,3","68.165,0","53,49K","0,88%"
"09.03.2024","68.366,5","68.178,5","68.576,9","67.923,9","30,71K","0,29%"
"08.03.2024","68.172,0","66.854,4","69.904,0","66.170,7","112,67K","1,97%"
"07.03.2024","66.855,3","66.074,6","67.985,5","65.602,6","77,47K","1,17%"
"06.03.2024","66.080,4","63.794,7","67.604,9","62.848,7","117,91K","3,59%"
"05.03.2024","63.792,6","68.273,1","69.063,1","60.138,2","207,60K","-6,56%"
"04.03.2024","68.270,1","63.135,8","68.495,1","62.746,8","130,86K","8,13%"
"03.03.2024","63.135,8","61.955,6","63.227,3","61.399,4","38,01K","1,84%"
"02.03.2024","61.994,5","62.397,7","62.446,3","61.621,9","33,80K","-0,65%"
"01.03.2024","62.397,7","61.157,3","63.147,3","60.790,9","74,96K","2,01%"
"29.02.2024","61.169,3","62.467,1","63.653,4","60.512,5","119,29K","-2,08%"
"28.02.2024","62.467,6","57.048,7","63.915,3","56.704,9","173,64K","9,48%"
"27.02.2024","57.056,2","54.491,1","57.555,2","54.464,0","100,48K","4,70%"
"26.02.2024","54.495,1","51.722,7","54.899,1","50.925,2","78,05K","5,36%"
"25.02.2024","51.722,7","51.572,1","51.952,0","51.299,0","23,61K","0,29%"
"24.02.2024","51.571,6","50.739,6","51.689,9","50.592,0","20,99K","1,64%"
"23.02.2024","50.740,5","51.320,6","51.532,5","50.537,6","43,27K","-1,13%"
"22.02.2024","51.320,4","51.850,2","52.015,8","50.947,3","50,27K","-1,04%"
"21.02.2024","51.858,2","52.263,5","52.367,3","50.676,9","59,02K","-0,78%"
"20.02.2024","52.263,5","51.783,1","52.936,8","50.801,8","68,10K","0,93%"
"19.02.2024","51.783,6","52.119,6","52.484,8","51.694,2","36,73K","-0,64%"
"18.02.2024","52.117,5","51.646,0","52.350,3","51.199,6","26,89K","0,91%"
"17.02.2024","51.646,0","52.134,2","52.175,5","50.652,3","32,45K","-0,94%"
"16.02.2024","52.134,2","51.901,4","52.556,7","51.612,6","52,86K","0,45%"
"15.02.2024","51.901,3","51.805,2","52.819,4","51.327,5","74,72K","0,23%"
"14.02.2024","51.782,4","49.708,6","52.010,7","49.263,8","80,35K","4,16%"
"13.02.2024","49.716,0","49.941,0","50.326,6","48.398,3","78,51K","-0,45%"
"12.02.2024","49.941,3","48.280,2","50.277,3","47.729,9","81,85K","3,45%"
"11.02.2024","48.277,3","47.759,3","48.531,6","47.590,2","36,50K","1,09%"
"10.02.2024","47.758,2","47.128,0","48.149,0","46.875,0","31,20K","1,34%"
"09.02.2024","47.127,5","45.293,3","48.118,8","45.254,2","98,11K","4,05%"
"08.02.2024","45.293,3","44.346,2","45.579,2","44.336,4","66,38K","2,15%"
"07.02.2024","44.339,8","43.088,4","44.367,9","42.783,5","48,57K","2,91%"
"06.02.2024","43.087,7","42.697,6","43.375,5","42.566,8","33,32K","0,91%"
"05.02.2024","42.697,2","42.581,4","43.532,2","42.272,5","39,26K","0,27%"
"04.02.2024","42.581,4","43.006,2","43.113,2","42.379,4","20,33K","-0,99%"
"03.02.2024","43.005,7","43.194,7","43.370,4","42.882,0","14,57K","-0,44%"
"02.02.2024","43.194,7","43.083,7","43.459,3","42.596,3","42,65K","0,26%"
"01.02.2024","43.081,4","42.580,1","43.263,1","41.890,5","47,69K","1,18%"
"31.01.2024","42.580,5","42.946,2","43.739,7","42.315,4","56,48K","-0,85%"
"30.01.2024","42.946,2","43.303,3","43.817,9","42.702,9","55,13K","-0,82%"
"29.01.2024","43.299,8","42.031,4","43.305,6","41.824,7","45,23K","3,02%"
"28.01.2024","42.030,7","42.121,3","42.817,1","41.649,0","32,53K","-0,21%"
"27.01.2024","42.120,9","41.811,5","42.191,8","41.413,0","20,46K","0,74%"
"26.01.2024","41.811,3","39.942,0","42.214,8","39.831,2","69,47K","4,70%"
"25.01.2024","39.935,7","40.085,1","40.285,8","39.546,3","46,30K","-0,37%"
"24.01.2024","40.086,0","39.891,3","40.535,2","39.510,0","58,64K","0,49%"
"23.01.2024","39.888,8","39.555,0","40.159,4","38.546,9","82,67K","0,84%"
"22.01.2024","39.556,4","41.581,7","41.684,9","39.468,4","85,10K","-4,87%"
"21.01.2024","41.583,2","41.695,4","41.878,0","41.504,5","16,11K","-0,27%"
"20.01.2024","41.695,4","41.647,6","41.858,0","41.449,5","22,27K","0,11%"
"19.01.2024","41.648,0","41.293,8","42.164,6","40.305,4","72,64K","0,86%"
"18.01.2024","41.292,7","42.763,5","42.908,0","40.682,6","70,35K","-3,45%"
"17.01.2024","42.768,7","43.139,1","43.192,3","42.211,8","50,44K","-0,87%"
"16.01.2024","43.145,5","42.515,2","43.563,7","42.093,1","63,93K","1,49%"
"15.01.2024","42.510,7","41.747,6","43.348,9","41.719,2","52,08K","1,83%"
"14.01.2024","41.746,1","42.851,3","43.069,4","41.739,6","37,14K","-2,58%"
"13.01.2024","42.851,3","42.836,7","43.248,6","42.443,3","48,18K","0,04%"
"12.01.2024","42.835,9","46.348,1","46.503,2","41.857,9","136,92K","-7,58%"
"11.01.2024","46.348,2","46.629,3","48.923,7","45.651,8","131,04K","-0,60%"
"10.01.2024","46.629,3","46.112,0","47.654,3","44.403,6","131,48K","1,08%"
"09.01.2024","46.129,0","46.959,2","47.880,1","45.333,9","100,09K","-1,77%"
"08.01.2024","46.962,2","43.934,2","47.196,7","43.251,0","103,09K","6,91%"
